Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Dept
student1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,情報
student2,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,情報
student3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,情報
student4,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,情報
student5,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,情報
student6,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,情報
student7,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,情報
student8,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,情報
student9,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,情報
student10,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,情報
student11,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,情報
student12,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,情報
student13,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,情報
student14,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,情報
student15,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,情報
student16,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,情報
student17,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,情報
student18,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,情報
student19,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,情報
student20,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,情報
student21,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,財務
student22,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,財務
student23,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,財務
student24,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,財務
student25,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,財務
student26,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,財務
student27,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,財務
student28,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,財務
student29,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,財務
student30,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,財務
student31,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,財務
student32,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,財務
student33,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,財務
student34,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,財務
student35,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,財務
student36,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,財務
student37,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,財務
student38,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,財務
student39,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,財務
student40,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,財務
